name,max_thickness,max_camber,leading_edge_radius,trailing_edge_angle,thickness_to_chord_ratio
goe385,0.098816316824634,0.04138346464646465,0.009930363692262153,11.543270597152233,0.098816316824634
goe386,0.20240536175373616,0.05427908635311181,0.0222660544937304,22.542852986974403,0.20240536175373616
goe387,0.14828541377379081,0.05509509131244233,0.016338117784468698,19.026281713380243,0.14828541377379081
goe388,0.10188682593118918,0.05423215985314332,0.01205601580222694,11.053937073518076,0.10188682593118918
goe389,0.10312451095795584,0.03967617972473386,0.010024356210810798,13.063720443307462,0.10312451095795584
goe392,0.10132087429133292,0.048307099210145456,0.006510855122745988,0.0010777597698635234,0.10132087429133292
goe391,0.05095957238056644,0.0320546610608312,0.006667706921289635,11.088456989413949,0.05095957238056644
goe393,0.06064881149813419,0.04203942732157641,0.008817852646499593,6.053512325201979,0.06064881149813419
goe390,0.20302228863906957,0.0689616976909937,0.02116395936040581,22.343066071051368,0.20302228863906957
goe396,0.04700015983934127,0.057565028014364555,0.006286912978966821,0.0008695679966481522,0.04700015983934127
goe397,0.05096956594678684,0.03951623756111885,0.00740894501860704,6.291447140802853e-05,0.05096956594678684
goe394,0.06097200045969582,0.05878655995894598,0.008654636969816446,6.196317906268819,0.06097200045969582
goe395,0.06100800064115451,0.06971236688649238,0.008071743447595215,5.551237104084294,0.06100800064115451
